state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
5,45,510,800.0,1,0,0,80.0,30,15.0,70.0,50,10.0,60.0,40,5.0,4.0,1,1.2,0,0
48,200,415,4500.0,0,0,20,300.0,140,45.0,320.0,140,25.0,350.0,150,15.0,18.0,10,4.5,3,1
12,80,408,1500.0,0,1,8,120.0,70,20.0,120.0,80,12.0,110.0,80,6.0,7.0,2,2.0,4,0
30,110,415,2200.0,0,0,15,210.0,100,35.0,200.0,95,17.0,210.0,105,8.0,10.0,5,3.0,5,0
42,170,510,3800.0,0,1,25,260.0,130,40.0,280.0,120,22.0,300.0,140,12.0,15.0,8,4.0,6,0
18,60,408,900.0,1,0,2,70.0,40,10.0,80.0,60,8.0,70.0,50,4.0,5.0,1,0.8,7,0
27,140,415,2800.0,0,0,10,190.0,110,30.0,230.0,100,18.0,240.0,120,9.0,12.0,6,3.5,8,0
9,35,510,500.0,1,1,0,50.0,20,5.0,40.0,30,5.0,30.0,20,2.0,2.0,0,0.5,9,1
33,190,415,3500.0,0,0,18,250.0,120,38.0,260.0,115,20.0,310.0,130,11.0,14.0,9,4.2,1,0
21,95,408,1700.0,0,1,6,140.0,80,22.0,140.0,85,13.0,140.0,90,7.0,8.0,3,2.3,2,0
45,210,415,4700.0,0,0,30,310.0,150,50.0,330.0,140,25.0,360.0,155,15.0,18.0,12,5.0,3,1
7,40,510,600.0,1,0,1,60.0,25,8.0,50.0,35,6.0,45.0,30,3.0,3.0,0,0.7,4,0
38,160,408,3300.0,0,1,22,280.0,130,42.0,290.0,125,23.0,330.0,140,13.0,16.0,11,4.8,5,0
14,70,415,1200.0,0,0,4,100.0,60,18.0,90.0,70,10.0,90.0,70,6.0,7.0,2,1.8,6,0
26,130,510,2500.0,0,1,12,200.0,110,30.0,210.0,95,18.0,220.0,100,9.0,11.0,5,3.0,7,0
4,20,408,400.0,1,1,0,30.0,10,5.0,20.0,25,4.0,20.0,15,1.0,1.0,0,0.3,8,1
41,190,415,4600.0,0,0,28,310.0,140,48.0,320.0,140,24.0,350.0,150,14.0,17.0,11,4.9,9,0
16,55,510,1100.0,0,1,3,90.0,55,15.0,80.0,65,9.0,80.0,60,5.0,6.0,1,1.5,1,0
29,120,415,2400.0,0,0,9,170.0,90,28.0,190.0,90,16.0,210.0,95,8.0,10.0,4,2.8,2,0
35,180,408,3200.0,0,1,20,260.0,120,38.0,260.0,115,21.0,300.0,130,12.0,15.0,9,4.0,3,1
2,10,510,200.0,1,0,0,20.0,5,2.0,10.0,15,3.0,15.0,10,0.5,0.5,0,0.1,4,0
47,210,415,4800.0,0,0,35,320.0,150,52.0,340.0,145,26.0,370.0,160,16.0,19.0,12,5.1,5,0
11,70,408,1300.0,0,1,5,110.0,70,20.0,110.0,80,12.0,120.0,80,6.0,8.0,2,2.2,6,0
39,170,415,3400.0,0,0,25,280.0,130,40.0,280.0,120,22.0,320.0,140,13.0,16.0,10,4.5,7,1
6,15,510,300.0,1,1,0,40.0,15,6.0,30.0,20,5.0,25.0,15,1.0,1.0,0,0.4,8,0
24,90,415,1900.0,0,0,7,150.0,80,25.0,140.0,90,15.0,190.0,95,8.0,10.0,4,2.9,9,0
36,200,408,3600.0,0,1,30,300.0,140,45.0,310.0,130,24.0,340.0,150,14.0,18.0,11,5.0,1,1
3,12,510,400.0,1,0,0,35.0,10,4.0,25.0,20,4.0,30.0,15,0.8,1.0,0,0.2,2,0
44,190,415,4700.0,0,0,32,310.0,140,48.0,330.0,140,24.0,360.0,155,15.0,18.0,12,5.2,3,0
10,50,408,1000.0,0,1,2,80.0,50,12.0,70.0,60,9.0,80.0,60,5.0,6.0,1,1.3,4,0
31,140,415,2600.0,0,0,10,190.0,100,30.0,210.0,95,17.0,230.0,105,9.0,11.0,5,3.0,5,0
17,80,510,1400.0,0,1,5,120.0,70,20.0,120.0,80,12.0,110.0,80,6.0,7.0,2,2.1,6,0
42,210,415,4800.0,0,0,35,320.0,150,52.0,340.0,145,26.0,370.0,160,16.0,19.0,12,5.1,7,1
8,25,408,500.0,1,0,0,45.0,15,6.0,35.0,25,5.0,35.0,20,1.0,1.0,0,0.3,8,0
27,110,415,2300.0,0,0,8,160.0,90,25.0,170.0,85,15.0,200.0,90,8.0,10.0,4,2.7,9,0
23,140,408,2600.0,0,1,12,190.0,110,32.0,210.0,95,18.0,230.0,105,9.0,11.0,5,3.1,1,0
5,30,510,700.0,1,1,0,70.0,30,10.0,60.0,40,7.0,70.0,50,3.0,4.0,1,1.0,2,0
38,170,415,3500.0,0,0,20,260.0,120,40.0,280.0,120,22.0,320.0,140,13.0,16.0,10,4.6,3,1
13,60,408,1100.0,0,1,4,90.0,55,15.0,80.0,65,9.0,80.0,60,5.0,6.0,1,1.4,4,0
30,140,415,2600.0,0,0,10,190.0,100,30.0,210.0,95,17.0,230.0,105,9.0,11.0,5,3.0,5,0
45,210,415,4800.0,0,0,35,320.0,150,52.0,340.0,145,26.0,370.0,160,16.0,19.0,12,5.1,6,1
2,10,510,200.0,1,0,0,20.0,5,2.0,10.0,15,3.0,15.0,10,0.5,0.5,0,0.1,7,0
47,210,415,4800.0,0,0,35,320.0,150,52.0,340.0,145,26.0,370.0,160,16.0,19.0,12,5.1,8,0
32,150,415,2800.0,0,0,15,210.0,100,35.0,200.0,95,17.0,240.0,100,9.0,11.0,5,3.2,1,0
18,70,408,1400.0,0,1,5,120.0,70,20.0,120.0,80,12.0,110.0,80,6.0,7.0,2,2.1,2,0
41,190,415,4600.0,0,0,28,310.0,140,48.0,320.0,140,24.0,350.0,150,14.0,17.0,11,4.9,3,1
15,60,510,1200.0,0,1,3,90.0,55,15.0,80.0,65,9.0,80.0,60,5.0,6.0,1,1.5,4,0
12,78,415,1200.0,0,1,12,190.3,90,28.4,210.7,110,15.2,180.5,95,8.1,12.3,5,3.2,1,0
35,150,408,3500.2,1,0,0,140.8,120,22.5,240.4,130,18.9,170.2,80,7.4,9.8,3,2.5,0,0
48,200,510,4800.0,0,0,5,260.1,110,35.0,260.0,140,20.5,190.0,110,10.0,15.0,6,4.0,2,1
5,45,415,800.3,0,1,0,80.5,30,12.0,90.0,50,8.0,70.0,40,4.0,5.0,2,1.5,3,0
22,110,408,2000.0,0,0,10,170.0,70,25.0,200.0,90,12.0,150.0,80,6.0,8.0,4,2.0,4,0
30,140,510,3500.0,1,0,0,220.0,100,30.0,250.0,120,18.0,180.0,100,9.0,12.0,5,3.0,5,0
42,190,415,4000.0,0,1,20,300.0,140,45.0,320.0,150,25.0,300.0,150,12.0,18.0,10,5.0,6,1
18,70,408,1200.0,0,0,0,90.0,40,15.0,110.0,60,10.0,80.0,50,5.0,6.0,3,1.0,7,0
27,95,510,2500.0,0,0,15,200.0,80,28.0,210.0,100,14.0,140.0,90,7.0,10.0,4,2.5,8,0
38,160,415,3000.0,1,0,0,250.0,120,32.0,260.0,130,19.0,200.0,110,9.0,12.0,6,3.5,9,1
9,40,408,600.0,0,1,0,60.0,20,10.0,70.0,40,6.0,50.0,30,3.0,4.0,1,0.5,0,0
45,210,510,4500.0,0,0,25,310.0,150,48.0,330.0,140,22.0,310.0,140,13.0,18.0,9,4.5,1,0
14,60,415,900.0,0,0,0,110.0,50,18.0,120.0,70,9.0,90.0,60,4.5,6.0,2,1.2,2,0
32,130,408,2800.0,1,1,5,230.0,110,35.0,240.0,120,17.0,190.0,100,8.0,12.0,5,3.0,3,0
20,90,510,1500.0,0,0,8,140.0,70,22.0,180.0,90,12.0,140.0,80,6.5,9.0,4,2.0,4,0
50,220,415,5000.0,0,1,30,350.0,160,55.0,350.0,160,25.0,360.0,160,15.0,19.0,10,5.0,5,1
7,35,408,400.0,0,0,0,50.0,10,5.0,40.0,30,4.0,30.0,20,1.5,2.0,0,0.2,6,0
28,110,510,2200.0,0,0,12,190.0,90,27.0,200.0,110,15.0,150.0,90,7.0,10.0,4,2.5,7,0
36,170,415,3500.0,1,1,0,260.0,120,35.0,260.0,120,18.0,210.0,110,9.0,12.0,6,3.5,8,1
11,50,408,700.0,0,1,0,70.0,30,12.0,80.0,50,7.0,70.0,40,3.0,5.0,1,0.8,9,0
41,190,510,4800.0,0,0,20,320.0,150,50.0,340.0,150,23.0,320.0,150,14.0,18.0,9,5.0,0,0
21,90,510,1500.0,0,0,5,140.0,70,22.0,180.0,90,12.0,140.0,80,6.5,9.0,4,2.0,2,0
49,220,415,5200.0,0,1,35,360.0,160,55.0,360.0,160,25.0,360.0,160,15.0,19.0,10,5.0,3,1
2,15,408,200.0,0,0,0,20.0,5,2.0,10.0,10,1.0,5.0,2,0.2,0.5,0,0.05,4,0
30,140,510,2600.0,0,0,10,210.0,110,30.0,220.0,110,16.0,170.0,100,8.0,11.0,5,3.0,5,0
27,120,415,2800.0,1,1,0,240.0,120,32.0,240.0,120,18.0,200.0,110,9.0,12.0,6,3.5,6,1
15,65,408,1100.0,0,0,0,100.0,60,20.0,140.0,80,10.0,120.0,70,5.0,8.0,4,2.0,7,0
33,150,510,3000.0,0,0,15,250.0,110,35.0,260.0,120,18.0,210.0,110,9.0,12.0,6,3.0,8,0
5,35,415,400.0,0,1,0,50.0,20,10.0,60.0,40,5.0,50.0,30,2.0,4.0,1,0.8,9,0
42,190,510,4200.0,0,0,20,310.0,140,45.0,310.0,140,22.0,300.0,140,13.0,18.0,9,5.0,0,0
18,75,408,900.0,0,0,0,90.0,50,18.0,110.0,70,9.0,90.0,60,4.5,6.0,2,1.2,1,0
24,100,415,1400.0,0,1,5,150.0,70,25.0,170.0,90,12.0,140.0,80,6.5,9.0,4,2.0,2,0
36,160,510,3500.0,1,0,0,260.0,120,35.0,260.0,120,18.0,210.0,110,9.0,12.0,6,3.5,3,1
10,45,408,600.0,0,0,0,70.0,30,12.0,80.0,50,7.0,70.0,40,3.0,5.0,1,0.8,4,0
31,140,415,2600.0,0,1,10,210.0,110,30.0,220.0,110,16.0,170.0,100,8.0,11.0,5,3.0,5,0
23,80,510,1200.0,0,0,5,120.0,60,20.0,140.0,80,10.0,100.0,70,5.0,7.0,3,1.5,6,0
44,210,415,4600.0,0,0,25,330.0,140,45.0,330.0,140,22.0,310.0,140,13.0,18.0,9,5.0,7,1
6,30,408,500.0,0,0,0,40.0,15,8.0,50.0,30,5.0,40.0,20,2.0,3.0,0,0.3,8,0
39,170,510,3800.0,0,1,15,280.0,130,38.0,280.0,140,20.0,240.0,120,11.0,15.0,7,4.0,9,1
12,110,415,3200.0,0,1,15,190.3,80,32.1,210.4,95,15.2,220.5,110,8.5,9.8,3,2.5,1,0
27,140,408,4100.0,0,1,0,150.7,60,25.4,180.2,70,12.3,190.0,95,7.2,7.5,2,1.8,1,0
45,200,510,1500.0,1,0,30,260.0,120,45.0,250.0,120,20.0,300.0,140,12.0,12.0,5,3.5,1,1
5,25,415,800.0,0,0,2,70.0,30,10.0,90.0,40,8.0,80.0,50,4.0,4.0,1,0.8,1,0
38,170,415,2500.0,0,1,20,200.0,90,28.0,190.0,80,14.0,210.0,100,9.0,8.0,3,2.0,1,0
22,95,408,3000.0,0,0,0,140.0,70,20.0,160.0,60,12.0,170.0,80,6.0,6.0,2,1.5,1,0
9,30,510,500.0,1,1,40,300.0,140,55.0,320.0,150,28.0,350.0,150,15.0,15.0,10,5.0,1,1
30,120,415,3500.0,0,0,10,170.0,80,25.0,200.0,90,15.0,220.0,110,8.0,9.0,3,2.0,1,0
47,210,408,4000.0,0,1,25,250.0,110,35.0,260.0,120,20.0,280.0,130,10.0,11.0,4,3.0,1,0
2,5,510,100.0,0,0,0,10.0,5,2.0,50.0,20,5.0,30.0,10,1.0,1.0,0,0.5,1,0
15,80,415,2000.0,0,1,12,180.0,90,30.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
33,140,408,2800.0,0,0,8,160.0,70,22.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
41,190,510,2600.0,1,1,35,280.0,130,40.0,280.0,120,22.0,320.0,140,12.0,12.0,5,3.5,1,1
7,25,415,800.0,0,0,2,70.0,30,10.0,90.0,40,8.0,80.0,50,4.0,4.0,1,0.8,1,0
28,110,415,3200.0,0,1,18,190.0,90,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
12,70,408,2200.0,0,0,5,140.0,60,18.0,160.0,70,12.0,170.0,80,6.0,7.0,2,1.8,1,0
23,140,510,1800.0,1,1,28,260.0,120,38.0,260.0,120,20.0,300.0,140,12.0,12.0,5,3.5,1,1
4,10,415,400.0,0,0,0,30.0,10,5.0,60.0,20,4.0,30.0,10,1.0,1.0,0,0.5,1,0
35,180,408,3500.0,0,1,22,220.0,100,32.0,240.0,110,18.0,260.0,130,10.0,11.0,4,3.0,1,0
16,90,415,2800.0,0,0,6,150.0,70,20.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
27,110,510,3200.0,0,1,18,190.0,90,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
3,20,415,800.0,0,0,2,80.0,30,10.0,90.0,40,8.0,80.0,50,4.0,4.0,1,0.8,1,0
44,210,408,3500.0,0,1,22,220.0,100,32.0,240.0,110,18.0,260.0,130,10.0,11.0,4,3.0,1,0
21,80,415,2000.0,0,1,12,180.0,90,30.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
13,50,510,1200.0,1,1,28,260.0,120,38.0,260.0,120,20.0,300.0,140,12.0,12.0,5,3.5,1,1
30,140,415,2800.0,0,0,8,160.0,70,22.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
17,90,408,2500.0,0,1,15,170.0,80,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
22,120,510,3000.0,0,0,10,150.0,70,20.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
6,30,415,1200.0,0,0,4,140.0,60,18.0,160.0,70,12.0,170.0,80,6.0,7.0,2,1.8,1,0
34,190,408,3200.0,0,1,20,200.0,90,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
11,40,415,1500.0,0,0,0,120.0,50,15.0,140.0,60,10.0,120.0,70,5.0,5.0,1,0.8,1,0
40,210,510,3500.0,1,1,30,260.0,120,38.0,260.0,120,20.0,300.0,140,12.0,12.0,5,3.5,1,1
23,140,415,2800.0,0,0,8,160.0,70,22.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
18,90,408,2600.0,0,1,15,170.0,80,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
29,120,510,3000.0,0,0,10,150.0,70,20.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
32,140,415,2800.0,0,0,8,160.0,70,22.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
7,20,415,900.0,0,0,2,80.0,30,10.0,90.0,40,8.0,80.0,50,4.0,4.0,1,0.8,1,0
41,190,408,3200.0,0,1,20,200.0,90,28.0,210.0,100,16.0,230.0,120,9.0,10.0,3,2.5,1,0
15,80,510,2000.0,0,0,6,150.0,70,20.0,170.0,80,12.0,190.0,90,6.0,7.0,2,1.8,1,0
23,110,415,2500.0,0,0,5,180.5,90,32.0,210.0,80,18.5,120.0,85,7.5,10.0,2,2.5,1,0
35,95,510,4000.0,0,1,30,140.0,120,25.0,250.0,110,22.0,200.0,70,9.0,12.0,5,3.0,0,0
12,70,408,3000.0,0,0,0,210.0,100,35.0,280.0,90,24.0,180.0,110,8.0,9.0,3,2.0,2,0
48,150,415,4500.0,1,0,45,100.0,140,20.0,190.0,130,28.0,250.0,60,11.0,15.0,6,4.0,3,1
5,40,510,800.0,0,0,0,120.0,50,15.0,140.0,70,12.0,90.0,40,5.0,7.0,1,1.5,4,0
27,110,408,3500.0,0,1,10,170.0,80,28.0,220.0,95,19.0,160.0,90,6.5,11.0,4,2.8,5,0
39,130,415,4200.0,0,0,20,150.0,110,22.0,240.0,120,21.0,210.0,80,7.0,13.0,5,3.2,6,0
2,25,510,600.0,1,0,0,90.0,30,10.0,100.0,50,8.0,70.0,20,3.0,5.0,0,0.5,7,0
45,200,408,4800.0,0,1,35,130.0,130,18.0,260.0,140,25.0,240.0,70,10.0,14.0,7,4.5,8,0
18,60,415,2000.0,0,0,5,190.0,95,30.0,230.0,100,20.0,190.0,100,8.5,12.5,3,2.2,9,0
30,140,510,3100.0,0,0,15,160.0,90,27.0,210.0,110,18.0,170.0,80,6.0,10.0,4,2.0,0,0
22,95,408,2600.0,0,1,25,140.0,100,23.0,190.0,115,22.0,190.0,90,7.5,11.5,5,3.0,1,0
8,35,415,1200.0,1,0,0,110.0,60,12.0,150.0,70,10.0,80.0,30,4.0,6.0,1,1.0,2,0
41,170,510,4300.0,0,0,40,120.0,120,20.0,200.0,130,24.0,220.0,70,9.0,13.0,6,3.5,3,0
16,55,408,1800.0,0,1,10,130.0,70,18.0,170.0,90,16.0,140.0,80,6.0,9.0,3,2.5,4,0
28,120,415,3300.0,0,0,20,150.0,110,25.0,210.0,100,19.0,180.0,90,7.0,11.0,4,2.8,5,0
3,20,510,500.0,1,0,0,80.0,40,10.0,120.0,60,9.0,70.0,30,3.5,5.5,0,0.8,6,0
47,210,408,4700.0,0,1,35,140.0,140,18.0,250.0,140,26.0,260.0,70,10.5,14.5,7,4.2,7,0
19,65,415,2100.0,0,0,5,170.0,90,28.0,230.0,110,20.0,190.0,100,8.0,12.0,3,2.3,8,0
34,140,510,3200.0,0,0,15,160.0,95,24.0,210.0,105,18.0,170.0,85,6.5,10.5,4,2.6,9,0
7,30,415,1400.0,1,0,0,120.0,70,15.0,160.0,80,12.0,90.0,40,4.5,6.5,1,1.2,0,0
42,190,408,4600.0,0,1,30,140.0,120,20.0,240.0,120,23.0,240.0,80,9.0,13.0,6,3.8,1,0
25,100,510,2800.0,0,0,10,150.0,80,22.0,200.0,95,18.0,180.0,90,7.0,11.0,4,2.7,2,0
13,45,415,900.0,0,0,0,110.0,60,15.0,140.0,70,12.0,90.0,40,4.0,6.0,1,1.0,3,0
36,150,408,4100.0,0,1,25,140.0,110,20.0,210.0,110,22.0,210.0,80,8.0,12.0,5,3.0,4,0
24,80,510,2600.0,0,0,5,160.0,90,25.0,190.0,100,18.0,170.0,90,7.0,11.0,4,2.5,5,0
9,35,415,1100.0,1,0,0,100.0,50,12.0,130.0,70,10.0,80.0,30,3.5,5.5,1,1.1,6,0
40,180,510,4400.0,0,0,30,140.0,120,18.0,220.0,120,24.0,230.0,70,9.0,13.0,6,3.6,7,0
31,110,408,3000.0,0,1,15,150.0,90,22.0,200.0,100,18.0,190.0,90,7.0,11.0,4,2.9,8,0
6,25,415,700.0,1,0,0,90.0,40,10.0,120.0,60,9.0,70.0,30,3.0,5.0,0,0.7,9,0
23,95,510,2600.0,0,0,10,140.0,80,20.0,190.0,90,17.0,170.0,80,6.5,10.5,4,2.4,0,0
15,55,408,1500.0,0,1,5,120.0,70,18.0,160.0,80,15.0,140.0,70,7.0,9.0,3,2.5,1,0
32,120,415,3100.0,0,0,20,150.0,90,22.0,210.0,100,18.0,180.0,90,7.0,11.0,4,2.7,2,0
4,20,510,500.0,1,0,0,80.0,30,10.0,120.0,60,9.0,70.0,30,3.5,5.5,0,0.6,3,0
27,110,408,3200.0,0,1,15,140.0,100,20.0,200.0,95,17.0,170.0,85,6.5,10.5,4,2.6,4,0
11,35,415,1300.0,1,0,0,110.0,60,12.0,140.0,70,12.0,90.0,40,4.0,6.0,1,1.1,5,0
38,140,510,3500.0,0,0,20,150.0,100,22.0,210.0,100,18.0,180.0,90,7.0,11.0,4,2.8,6,0
5,25,415,800.0,1,0,0,90.0,40,10.0,120.0,60,9.0,70.0,30,3.0,5.0,0,0.5,7,0
43,190,408,4600.0,0,1,35,140.0,120,20.0,240.0,120,23.0,240.0,80,9.0,13.0,6,3.9,8,0
20,70,415,2000.0,0,0,0,180.0,90,30.0,210.0,100,18.0,190.0,100,8.0,12.0,3,2.4,9,0
29,120,510,3100.0,0,0,15,140.0,80,20.0,190.0,90,17.0,170.0,80,6.5,10.5,4,2.5,0,0
12,45,415,900.0,0,0,0,110.0,60,15.0,140.0,70,12.0,90.0,40,4.0,6.0,1,1.0,1,0
37,160,408,4000.0,0,1,25,140.0,110,20.0,210.0,110,22.0,210.0,80,8.0,12.0,5,3.0,2,0
18,60,510,1800.0,0,0,5,130.0,70,18.0,170.0,90,16.0,140.0,80,6.0,9.0,3,2.5,3,0
26,110,415,2800.0,0,0,10,150.0,90,22.0,200.0,95,18.0,180.0,90,7.0,11.0,4,2.7,4,0
33,130,510,3200.0,0,0,15,140.0,80,20.0,190.0,100,17.0,170.0,85,6.5,10.5,4,2.6,5,0
1,10,415,400.0,1,0,0,70.0,20,5.0,80.0,40,6.0,50.0,20,2.0,4.0,0,0.3,6,0
44,200,408,4800.0,0,1,35,140.0,140,18.0,250.0,140,26.0,260.0,70,10.5,14.5,7,4.3,7,0
23,90,510,2600.0,0,0,10,140.0,80,20.0,190.0,90,17.0,170.0,80,6.5,10.5,4,2.5,8,0
30,120,415,3100.0,0,0,15,140.0,80,20.0,190.0,90,17.0,170.0,80,6.5,10.5,4,2.5,9,0
12,110,415,3200.0,0,1,15,190.5,95,28.3,210.4,110,18.2,220.7,105,8.5,9.8,5,2.1,1,0
45,200,408,4100.0,0,0,30,310.2,140,45.6,320.1,140,25.4,330.5,150,12.3,15.2,12,4.0,0,0
3,25,510,800.0,1,1,5,60.7,30,12.4,80.3,50,10.1,70.2,40,3.2,4.5,2,0.8,2,0
27,150,415,2500.0,0,0,0,140.3,110,20.5,180.0,90,15.0,190.0,95,7.0,8.0,4,1.5,3,0
50,220,408,4800.0,0,1,45,330.0,155,55.0,340.0,150,28.0,360.0,160,15.0,18.0,16,5.0,4,1
8,60,510,1200.0,0,0,10,90.5,70,18.0,120.0,70,12.0,110.0,80,5.0,6.0,3,1.0,5,0
35,180,415,3500.0,0,1,20,250.0,130,35.0,260.0,120,22.0,280.0,110,10.0,12.0,9,3.0,6,0
22,90,408,2000.0,1,0,0,120.0,80,25.0,150.0,85,18.5,170.0,90,6.0,7.0,5,2.0,7,0
0,5,510,400.0,0,1,2,30.0,20,5.0,50.0,40,5.0,30.0,20,1.0,2.0,1,0.5,8,0
48,210,415,4700.0,0,0,35,320.0,150,50.0,330.0,140,27.0,350.0,155,14.0,17.0,15,4.5,9,1
14,70,408,1400.0,0,1,7,100.0,55,13.0,110.0,65,12.0,120.0,70,4.0,5.0,2,0.8,2,0
33,170,415,3200.0,0,0,22,230.0,115,32.0,240.0,105,20.0,260.0,105,9.0,11.0,7,2.5,3,0
4,15,510,600.0,1,0,0,50.0,30,8.0,70.0,50,7.0,60.0,40,2.0,3.0,1,0.5,4,0
41,190,408,4200.0,0,1,28,270.0,115,38.0,310.0,125,23.0,330.0,140,12.5,15.5,13,4.0,5,0
16,60,415,1200.0,0,0,4,90.0,50,11.0,90.0,55,10.0,100.0,70,4.0,5.0,2,0.9,6,0
29,180,510,3100.0,0,1,20,210.0,110,28.0,230.0,105,18.0,250.0,110,8.0,10.0,6,2.2,7,0
6,25,415,800.0,1,0,0,70.0,35,9.0,70.0,50,8.0,60.0,40,2.5,3.5,1,0.6,8,0
44,210,408,4500.0,0,1,35,310.0,150,45.0,330.0,140,26.0,350.0,155,13.5,17.5,15,4.8,2,0
2,10,510,500.0,0,1,1,40.0,25,6.0,60.0,45,6.0,35.0,25,1.5,2.5,1,0.4,3,0
46,200,415,4400.0,0,0,38,300.0,150,45.0,320.0,135,25.0,340.0,150,12.0,16.0,14,4.3,3,0
12,70,408,1400.0,0,1,7,100.0,55,13.0,110.0,65,12.0,120.0,70,4.0,5.0,2,0.8,4,0
32,170,415,3200.0,0,0,22,230.0,115,32.0,240.0,105,20.0,260.0,105,9.0,11.0,7,2.5,5,0
5,15,510,600.0,1,0,0,50.0,30,8.0,70.0,50,7.0,60.0,40,2.0,3.0,1,0.5,6,0
40,190,408,4200.0,0,1,28,270.0,115,38.0,310.0,125,23.0,330.0,140,12.5,15.5,13,4.0,7,0
17,60,415,1200.0,0,0,4,90.0,50,11.0,90.0,55,10.0,100.0,70,4.0,5.0,2,0.9,8,0
28,180,510,3100.0,0,1,20,210.0,110,28.0,230.0,105,18.0,250.0,110,8.0,10.0,6,2.2,9,1
6,25,415,800.0,1,0,0,70.0,35,9.0,70.0,50,8.0,60.0,40,2.5,3.5,1,0.6,1,0
45,210,408,4500.0,0,1,35,310.0,150,45.0,330.0,140,26.0,350.0,155,13.5,17.5,15,4.8,2,0
2,10,510,500.0,0,1,1,40.0,25,6.0,60.0,45,6.0,35.0,25,1.5,2.5,1,0.4,4,0
47,230,415,4800.0,0,0,42,330.0,155,50.0,340.0,145,27.0,360.0,160,15.0,18.0,16,5.0,4,0
12,90,415,2000.0,0,1,0,150.0,80,25.0,250.0,90,21.0,140.0,80,6.0,8.8,2,2.2,1,0
38,140,415,2800.0,0,0,0,200.0,100,25.0,180.0,110,16.0,190.0,100,9.0,10.5,3,3.0,1,0
45,200,415,3200.0,1,0,0,310.0,140,36.0,150.0,130,13.0,230.0,115,12.0,11.0,5,4.0,3,1
2,50,408,1000.0,0,0,0,60.0,20,8.0,260.0,70,22.0,110.0,60,4.0,7.5,0,0.9,6,0
26,110,510,1900.0,0,0,0,140.0,70,20.0,250.0,90,21.0,140.0,80,6.0,8.8,2,2.2,7,0
40,170,415,2800.0,1,1,25,190.0,110,28.0,180.0,115,17.0,210.0,95,9.0,10.5,3,3.0,0,1
11,70,408,1500.0,0,0,0,120.0,60,18.0,250.0,85,21.0,140.0,80,6.0,8.8,2,2.2,9,0
35,140,510,2600.0,1,0,0,260.0,130,35.0,160.0,120,15.0,220.0,110,10.0,11.0,4,3.3,0,1
18,90,415,1700.0,0,1,5,140.0,70,20.0,250.0,90,21.0,140.0,80,6.0,8.8,2,2.2,1,0
43,190,408,3100.0,1,0,0,320.0,150,40.0,140.0,140,13.0,230.0,120,12.0,12.0,5,4.0,0,1
7,65,510,1400.0,0,0,0,90.0,50,15.0,250.0,80,20.0,140.0,80,6.0,9.0,2,2.2,8,0
24,105,415,2000.0,0,1,10,150.0,70,22.0,200.0,110,17.0,180.0,95,8.0,10.0,3,3.0,0,0
30,120,408,2500.0,0,0,0,200.0,100,28.0,190.0,110,17.0,200.0,95,8.0,10.0,3,3.0,0,0
16,75,510,1800.0,1,0,0,170.0,90,24.0,210.0,105,18.0,190.0,100,9.0,10.5,4,3.2,2,0
5,60,408,1100.0,0,0,0,80.0,40,12.0,260.0,80,22.0,130.0,70,5.0,8.0,1,1.7,3,0
45,190,415,3000.0,0,1,15,180.0,90,25.0,190.0,100,18.0,190.0,95,8.0,9.5,2,2.6,0,0
1,55,408,1300.0,0,0,0,70.0,30,10.0,260.0,75,21.0,120.0,70,5.0,8.0,1,1.6,8,0
29,125,510,2400.0,1,0,0,260.0,130,35.0,160.0,120,15.0,220.0,110,10.0,11.0,4,3.3,0,1
6,65,415,1400.0,0,0,0,90.0,50,15.0,250.0,80,20.0,140.0,80,6.0,9.0,2,2.2,9,0
47,210,408,3600.0,1,0,0,330.0,155,38.0,150.0,135,12.0,230.0,125,13.0,12.5,6,4.2,0,1
14,80,510,1600.0,0,1,10,120.0,60,18.0,240.0,90,19.0,150.0,85,7.0,9.5,3,3.0,0,0
9,70,408,1700.0,1,0,5,150.0,80,22.0,200.0,110,17.0,180.0,95,8.0,10.0,2,2.5,2,0
